Question,Option1,Option2,Option3,Option4,CorrectOption
The term **'Ecological Niche'** refers to:,The habitat where an organism lives.,The functional role played by an organism in its ecosystem.,The area where a species can potentially live.,The specific food consumed by a species.,The functional role played by an organism in its ecosystem.
"The **Forest Rights Act, 2006** recognizes the rights of forest dwelling communities over:",Land only,Minor Forest Produce (MFP) only,"Land, MFP, and community forest resources",Only individual rights to cultivate,"Land, MFP, and community forest resources"
Which of the following is the **largest Tiger Reserve** (area-wise) in India?,Periyar (Kerala),Ranthambore (Rajasthan),Nagarjunsagar-Srisailam (Andhra Pradesh/Telangana),Manas (Assam),Nagarjunsagar-Srisailam (Andhra Pradesh/Telangana)
Which country has the **largest tropical rainforest cover** in the world?,India,Brazil,Indonesia,Democratic Republic of Congo,Brazil
The **concept of 10% Law** in ecology relates to:,Energy transfer from one trophic level to the next.,10% of species being endangered.,10% of pollutants reaching the highest trophic level.,10% of light being absorbed by plants.,Energy transfer from one trophic level to the next.
The **Ramsar Convention** is primarily aimed at the conservation of:,Coral reefs,Coastal areas,Wetlands,Genetic resources,Wetlands
The **UNEP (United Nations Environment Programme)** is headquartered at:,"New York, USA","Geneva, Switzerland","Nairobi, Kenya","Vienna, Austria","Nairobi, Kenya"
Which of the following pairs is **correctly matched**?,**Tiger Reserve:** Jim Corbett → **State:** Uttarakhand,**National Park:** Bandhavgarh → **State:** Maharashtra,**Wildlife Sanctuary:** Bhitarkanika → **State:** West Bengal,**Biosphere Reserve:** Nilgiri → **State:** Karnataka,**Tiger Reserve:** Jim Corbett → **State:** Uttarakhand
"Bio-magnification refers to the increase in concentration of a substance (e.g., pesticide) in a:",Specific geographical location.,Single organism over its lifetime.,Higher trophic level in a food chain.,Lower trophic level in a food chain.,Higher trophic level in a food chain.
Photochemical Smog is a common pollutant in cities and primarily consists of:,Sulphur Dioxide and Carbon Monoxide,"Ozone, Peroxyacetyl Nitrate (PAN) and Nitrogen Oxides",Carbon Dioxide and Water Vapour,Lead and heavy metals,"Ozone, Peroxyacetyl Nitrate (PAN) and Nitrogen Oxides"
The **Clean Development Mechanism (CDM)** is associated with which international agreement?,Vienna Convention,Montreal Protocol,Kyoto Protocol,Convention on Biological Diversity (CBD),Kyoto Protocol
Which of the following is a **characteristic of the Tundra Biome**?,High rainfall and high temperatures.,Permafrost and low-growing vegetation.,Temperate climate and deciduous trees.,Dense tropical forest and high biodiversity.,Permafrost and low-growing vegetation.
Gene Bank is an example of which type of conservation?,*In-situ* conservation,*Ex-situ* conservation,*In-vivo* conservation,*In-vitro* conservation,*Ex-situ* conservation
The **National Action Plan on Climate Change (NAPCC)** includes how many National Missions?,Five,Seven,Eight,Ten,Eight
The term **'Ecological Succession'** is best described as:,The permanent loss of a species from an ecosystem.,The gradual and predictable change in species composition over time in an area.,The rapid degradation of an ecosystem due to human activities.,The migration of species to a new habitat.,The gradual and predictable change in species composition over time in an area.
Which major forest type in India is characterized by trees shedding their leaves during the dry season?,Tropical Evergreen Forests,Tropical Deciduous Forests,Montane Temperate Forests,Tropical Thorn Forests,Tropical Deciduous Forests
"Plastic Waste Management Rules, 2016 mandate the responsibility of the producer, importer, and brand owner (PIBO) for managing their waste, known as:",Zero Waste Policy (ZWP),Extended Producer Responsibility (EPR),Corporate Social Responsibility (CSR),Waste to Energy Program (WTE),Extended Producer Responsibility (EPR)
The **Earth Hour** is an annual event organized by:,United Nations Environment Programme (UNEP),World Economic Forum (WEF),World Wide Fund for Nature (WWF),Greenpeace,World Wide Fund for Nature (WWF)
The **UN Decade on Ecosystem Restoration** runs from:,2011-2020,2015-2025,2021-2030,2030-2040,2021-2030
Which of the following pollutants is a major cause of the **Ozone Hole**?,Carbon Dioxide,Methane,Chlorofluorocarbons (CFCs),Sulphur Dioxide,Chlorofluorocarbons (CFCs)
Bioremediation is a technique that uses:,Genetically modified crops to increase yield.,"Living organisms (e.g., microbes) to remove pollutants from contaminated sites.",Chemical processes to clean up oil spills.,Physical barriers to contain pollution.,"Living organisms (e.g., microbes) to remove pollutants from contaminated sites."
Biosphere Reserves are designated under the UNESCO program called:,World Heritage Sites,Man and the Biosphere (MAB) Programme,Global Geoparks Network,International Hydrological Programme,Man and the Biosphere (MAB) Programme
The term **'Urban Heat Island'** refers to:,Increased pollution in urban areas.,Higher temperatures in a city compared to surrounding rural areas.,The warming effect of tall buildings.,The effect of ozone depletion in cities.,Higher temperatures in a city compared to surrounding rural areas.
Which State in India has the **largest area under forest cover** (in terms of area)?,Arunachal Pradesh,Madhya Pradesh,Chhattisgarh,Odisha,Madhya Pradesh
The **CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora)** aims to:,Control the total population of wildlife.,Regulate international trade in specimens of wild animals and plants.,Provide financial aid for conservation projects.,Prohibit all hunting and trapping of wild animals.,Regulate international trade in specimens of wild animals and plants.
The **National Biodiversity Authority** is a statutory body established under the:,"Wildlife Protection Act, 1972","Forest (Conservation) Act, 1980","Environment (Protection) Act, 1986","Biological Diversity Act, 2002","Biological Diversity Act, 2002"
Minamata disease is a neurological syndrome caused by severe poisoning from:,Cadmium,Mercury,Lead,Arsenic,Mercury
The **UNFCCC (United Nations Framework Convention on Climate Change)** was established at the:,"Rio Summit, 1992","Kyoto Protocol, 1997","Paris Agreement, 2015","Stockholm Conference, 1972","Rio Summit, 1992"
Primary Pollutants are those that:,"Are directly emitted from a source (e.g., ‎SO₂ from a factory).","Are formed by the reaction of primary pollutants (e.g., Ozone).",Are highly toxic to living organisms.,Are naturally occurring in the environment.,"Are directly emitted from a source (e.g., ‎SO₂ from a factory)."
"The **Convention on Biological Diversity (CBD)** has three main goals: conservation of biodiversity, sustainable use of its components, and:",**Fair and equitable sharing of benefits** arising from genetic resources.,Elimination of all invasive alien species.,Complete ban on all international trade in endangered species.,Setting up a global carbon tax.,**Fair and equitable sharing of benefits** arising from genetic resources.
Wild Ass Sanctuary in India is located in which region?,Rann of Kutch,Thar Desert,Sunderbans,Ladakh,Rann of Kutch
"The **""Global Warming Potential (GWP)""** of a greenhouse gas is a measure of:",The gas's concentration in the atmosphere.,The amount of global warming it causes over a given time period compared to ‎CO₂.,Its ability to deplete the ozone layer.,The total amount of the gas emitted annually.,The amount of global warming it causes over a given time period compared to ‎CO₂.
The **Ganga Action Plan** was first launched in the year:,1972,1986,1995,2014,1986
In which type of biome are the majority of the world's commercial softwoods produced?,Temperate Deciduous Forest,Tundra,Taiga (Boreal Forest),Savanna,Taiga (Boreal Forest)
Coral Bleaching is most likely caused by:,Decrease in sea surface temperature.,Increased sedimentation and turbidity.,**Increase in sea surface temperature and ocean acidification.**,High concentration of dissolved oxygen.,**Increase in sea surface temperature and ocean acidification.**
Invasive Alien Species pose a threat to biodiversity because they:,Are generally larger in size than native species.,Are less adapted to the local climate.,"Compete with native species and predate them, altering ecosystems.",Only grow in cultivated areas.,"Compete with native species and predate them, altering ecosystems."
The **National Parks and Wildlife Sanctuaries** in India are established under which Act?,"Forest (Conservation) Act, 1980","Environment (Protection) Act, 1986","Wildlife (Protection) Act, 1972","Biological Diversity Act, 2002","Wildlife (Protection) Act, 1972"
The **Ecotone** is defined as:,The depth of the ocean where no light penetrates.,The transition area between two different biomes or ecological communities.,The area of the Earth where life exists.,The region of highest biodiversity within an ecosystem.,The transition area between two different biomes or ecological communities.
Biochemical Oxygen Demand (BOD) is a standard measure used for:,Measuring the concentration of ozone in the atmosphere.,Estimating the amount of biodegradable organic matter in water.,Calculating the rate of photosynthesis in a water body.,Determining the hardness of water.,Estimating the amount of biodegradable organic matter in water.
The **Kunming-Montreal Global Biodiversity Framework** is associated with the CBD and aims to halt and reverse:,Land degradation,Global warming,**Nature loss**,Ocean acidification,**Nature loss**
Which of the following best describes the role of **Decomposers** in an ecosystem?,They convert light energy into chemical energy.,They consume primary producers.,They break down dead organic matter and return nutrients to the soil.,They are the largest consumers in the food chain.,They break down dead organic matter and return nutrients to the soil.
The **Wetlands of International Importance** are designated under which convention?,Bonn Convention,Ramsar Convention,Basel Convention,Rio Convention,Ramsar Convention
The term **'Acid Mine Drainage'** is a significant environmental problem related to:,Release of acidic chemicals during manufacturing.,Runoff of rainwater through exposed waste rock and tailing heaps.,Use of highly acidic pesticides in agriculture.,Disposal of batteries in landfills.,Runoff of rainwater through exposed waste rock and tailing heaps.
The **National Green Tribunal (NGT)** in India was established in the year:,2005,2010,2015,2020,2010
The **Great Smog of 1952** that occurred in London was primarily a result of a combination of fog and:,Ozone,Particulate Matter (PM) and Sulphur Dioxide (‎SO₂),Methane,Nitrogen Oxides (‎NO₅),Particulate Matter (PM) and Sulphur Dioxide (‎SO₂)
The concept of **REDD+** is a mechanism developed by ‎UNFCCC to incentivize developing countries to:,Reduce emissions from deforestation and forest degradation.,Increase the use of renewable energy sources.,Develop sustainable agriculture practices.,Promote adaptation to climate change.,Reduce emissions from deforestation and forest degradation.
Which Indian state has the **highest percentage of its geographical area under forest cover**?,Madhya Pradesh,Arunachal Pradesh,Mizoram,Sikkim,Mizoram
Desertification is best defined as the:,Natural process of desert formation.,"Land degradation in arid, semi-arid and dry sub-humid areas resulting from various factors, including climatic variations and human activities.",Conversion of a forest area into a semi-arid zone.,Process of soil erosion by wind only.,"Land degradation in arid, semi-arid and dry sub-humid areas resulting from various factors, including climatic variations and human activities."
The **Lion-tailed Macaque** is endemic to which region of India?,Eastern Himalayas,Western Ghats,Indo-Burma Region,Sundaland,Western Ghats
Which of the following is a **characteristic of the Littoral and Swamp Forests** in India?,Dominated by coniferous trees.,"Found in tidal areas, estuaries, and river deltas (e.g., Mangroves).",Primarily found on high mountain slopes.,Characterized by a thick layer of permafrost.,"Found in tidal areas, estuaries, and river deltas (e.g., Mangroves)."
The term **'Keystone Species'** refers to a species that:,Is the most abundant in its ecosystem.,Has a disproportionately large effect on its environment relative to its abundance.,Is a primary producer in the ecosystem.,Is at the top of the food chain.,Has a disproportionately large effect on its environment relative to its abundance.
The **Basel Convention** deals with the control of:,Transboundary movements of hazardous wastes and their disposal.,Emission of ‎SO₂ and ‎NO₅.,International trade in endangered species.,Protection of the Ozone layer.,Transboundary movements of hazardous wastes and their disposal.
Ocean Acidification is primarily caused by:,Increased pollution from ships.,Overfishing.,The ocean absorbing excess **Carbon Dioxide (CO₂)** from the atmosphere.,Increased salinity due to melting glaciers.,The ocean absorbing excess **Carbon Dioxide (CO₂)** from the atmosphere.
The **Tiger Census** in India is conducted every:,Two years,Four years,Five years,Ten years,Four years
Which of the following is an example of an **r-selected species**?,Elephant,Whale,**Bacteria**,Human,**Bacteria**
The **Green Indian Census (GIC)** is an initiative to create a register of:,All protected areas in India.,India's natural resources and their economic value.,All non-renewable energy projects.,Carbon sequestration potential of forests.,India's natural resources and their economic value.
Fly Ash is a fine powder collected from:,Cement manufacturing plants.,Coal-fired thermal power plants.,Automobile exhaust.,Nuclear power plants.,Coal-fired thermal power plants.
The **Kaziranga National Park** is famous for the conservation of the:,Bengal Tiger,Asiatic Lion,**One-horned Rhinoceros**,Snow Leopard,**One-horned Rhinoceros**
The **Bonn Convention (CMS)** aims to conserve:,Habitats for plant life.,**Migratory species** of wild animals.,Tropical rainforests.,Marine biodiversity.,**Migratory species** of wild animals.
The **National Water Mission** aims to:,Increase water tax revenue.,"Conserve water, minimize wastage, and ensure equitable distribution.",Construct new dams and reservoirs.,Promote desalination projects only.,"Conserve water, minimize wastage, and ensure equitable distribution."
The highest amount of **Solar Radiation** is received in which geographical zone?,Equatorial zone,Temperate zone,Polar zone,Sub-tropical zone,Equatorial zone
The **Convention to Combat Desertification (UNCCD)** primarily focuses on:,Sustainable land management in drylands.,Regulating the use of chemicals in agriculture.,Protecting oceans from pollution.,Reducing greenhouse gas emissions.,Sustainable land management in drylands.
PM2.5 and PM10 in the air primarily refer to:,The concentration of Ozone.,Particles with a diameter of 2.5 and 10 micrometers or less.,The density of smog.,The velocity of wind-blown dust.,Particles with a diameter of 2.5 and 10 micrometers or less.
Which of the following is a **Cold Desert Biosphere Reserve** in India?,Sunderbans,Panna,Achanakmar-Amarkantak,**Great Himalayan National Park**,**Great Himalayan National Park**
The C in **COP (Conference of the Parties)** stands for:,Convention,Climate,Commitment,Consensus,Convention
Algal Blooms in water bodies are often a result of:,Low BOD and low nutrient levels.,Low pH and high turbidity.,"High nutrient levels (e.g., nitrogen and phosphorus).",High concentrations of heavy metals.,"High nutrient levels (e.g., nitrogen and phosphorus)."
"The **""Global Environment Facility (GEF)""** serves as the financial mechanism for which convention?",Convention on Biological Diversity (CBD),United Nations Framework Convention on Climate Change (UNFCCC),United Nations Convention to Combat Desertification (UNCCD),**All of the above**,**All of the above**
India's **National Clean Air Programme (NCAP)** aims to achieve a reduction of PM2.5 and PM10 concentration by 20% to 30% by:,2024,2026,2030,2040,2026
The **term 'Ecological Footprint'** represents:,The total area of forest cover in a country.,The amount of biologically productive land and water area a person or population requires to produce all the resources it consumes and absorb all the waste it generates.,The area covered by protected areas.,The total amount of carbon emissions from a country.,The amount of biologically productive land and water area a person or population requires to produce all the resources it consumes and absorb all the waste it generates.
Which of the following is a **legally binding** agreement on climate change?,Copenhagen Accord,Paris Agreement,Cancun Agreements,Durban Platform,Paris Agreement
Asiatic Lion is naturally found in India only in:,Jim Corbett National Park,Sasan-Gir National Park,Ranthambore National Park,Kanha National Park,Sasan-Gir National Park
"The **""Ecosystem Services""** include:","Only provisioning services (e.g., food, water).","Provisioning, regulating, supporting, and cultural services.",Only carbon sequestration and climate regulation.,Only the spiritual benefits of nature.,"Provisioning, regulating, supporting, and cultural services."
Mangrove forests are most valuable as:,Sources of high-value timber.,Sites for commercial aquaculture.,**Buffers against coastal erosion and storm surges.**,Areas for salt production.,**Buffers against coastal erosion and storm surges.**
Which of the following is NOT a feature of the **Project Tiger**?,Focus on core and buffer area approach.,Mandate for local community participation.,Financial and technical support to tiger range states.,**Providing free-ranging domestic cattle for prey base.**,**Providing free-ranging domestic cattle for prey base.**
The **UN World Wildlife Day** is observed annually on:,3-Mar,22-Apr,5-Jun,29-Jul,3-Mar
The **Saddle Peak National Park** is located in which group of islands?,Lakshadweep Islands,Andaman and Nicobar Islands,Gulf of Kutch,Nicobar Islands,Andaman and Nicobar Islands
Ozone is considered a pollutant at:,Stratospheric level,**Ground level (Troposphere)**,Mesospheric level,Exospheric level,**Ground level (Troposphere)**
"The **E-waste (Management) Rules, 2016** introduced the principle of:",Polluter Pays Principle (PPP),Extended Producer Responsibility (EPR),Zero Liquid Discharge (ZLD),Circular Economy (CE),Extended Producer Responsibility (EPR)
"The **Amended Coastal Regulation Zone (CRZ) Notification, 2019** aims to:",Restrict fishing activities in coastal areas.,Promote sustainable development and conserve coastal environment.,Ban all construction activities near the coast.,Increase the width of the territorial sea.,Promote sustainable development and conserve coastal environment.
The **Bhilwara model** (or similar community models) in water management is primarily focused on:,Large-scale dam construction.,Traditional rainwater harvesting and watershed development.,Desalination plants.,Groundwater extraction through deep tube wells.,Traditional rainwater harvesting and watershed development.
The phenomenon of **'Global Dimming'** is caused by:,Decrease in atmospheric water vapor.,Increase in tropospheric ozone.,Increase in atmospheric particulate matter and aerosols.,Decrease in cloud cover.,Increase in atmospheric particulate matter and aerosols.
The **International Solar Alliance (ISA)** was jointly launched by India and:,USA,France,Germany,China,France
The term **'Anthropocene'** is used to denote the geological age dominated by:,Volcanic activity.,Continental drift.,Human activities.,Ice age cycles.,Human activities.
The primary function of the **Central Pollution Control Board (CPCB)** is:,Issuing environmental clearances for projects.,Formulating national environment policy.,Monitoring and controlling pollution.,Enforcing the Wildlife Protection Act.,Monitoring and controlling pollution.
Which of the following is a **major threat to the Olive Ridley Sea Turtles** in India?,Illegal poaching for their meat and shell.,Trawling and accidental entanglement in fishing nets (by-catch).,Predation by Asiatic Lions.,Competition with invasive alien species.,Trawling and accidental entanglement in fishing nets (by-catch).
"The **'Great Barrier Reef'**, one of the world's most significant coral reef systems, is located off the coast of:",Madagascar,Brazil,Australia,Indonesia,Australia
The **'Ecologically Sensitive Areas (ESAs)'** in the Western Ghats are designated based on the recommendations of which two committees?,Kasturirangan and Gadgil,Swaminathan and Abid Hussain,Venkataraman and Rajamannar,Narasimhan and Shunglu,Kasturirangan and Gadgil
The **'Global Tiger Initiative'** was launched with the primary goal of:,Increasing the tiger population by $50\%$ by 2022.,"Doubling the world's wild tiger population ($	ext{Tx}2$) by 2022.",Establishing new tiger reserves globally.,Banning all trade in tiger parts.,"Doubling the world's wild tiger population ($	ext{Tx}2$) by 2022."
"The **""Gobar-Dhan Scheme""** is an initiative to promote:",Organic farming using Cow dung.,Converting cattle dung and farm waste into Bio-gas/CNG.,Rearing of indigenous cattle breeds.,Establishing cattle shelters in urban areas.,Converting cattle dung and farm waste into Bio-gas/CNG.
"The **$	ext{UN}$ Global Compact** encourages businesses worldwide to adopt sustainable and socially responsible policies in the areas of human rights, labor, anti-corruption, and:",Climate Change mitigation.,Forest conservation.,Biodiversity protection.,The **Environment**.,The **Environment**.
The term **'Cryosphere'** in Earth system science refers to:,The frozen water parts of the Earth.,The region of the atmosphere where satellites operate.,The deepest layers of the ocean.,The Earth's core and mantle.,The frozen water parts of the Earth.
Which gas is responsible for the characteristic **rotten egg smell** often associated with anaerobic decomposition in wetlands or sewage?,"Methane ($	ext{CH}_4$)","Hydrogen Sulfide ($	ext{H}_2	ext{S}$)","Sulphur Dioxide ($	ext{SO}_2$)","Carbon Monoxide ($	ext{CO}$)","Hydrogen Sulfide ($	ext{H}_2	ext{S}$)"
