Question,Option1,Option2,Option3,Option4,Correct Option
The 'Minimum Support Price (MSP)' for crops is announced by the Government of India based on the recommendations of which body?,NITI Aayog,Commission for Agricultural Costs and Prices (CACP),Ministry of Finance,National Bank for Agriculture and Rural Development (NABARD),Commission for Agricultural Costs and Prices (CACP)
"With reference to the National Statistical Office (NSO), consider the following statements:
1. It is the nodal agency for conducting the Population Census in India.
2. It releases the Gross Domestic Product (GDP) estimates for India.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,2 only
The 'Agri Stack' initiative of the Government of India is related to:,A platform for online trading of agricultural commodities.,A digital ecosystem for the farm sector using a unique farmer ID.,A storage system for buffer stock of food grains.,An insurance scheme for farm machinery.,A digital ecosystem for the farm sector using a unique farmer ID.
The term 'Inflation Target' in the context of Indian monetary policy is set by the Government of India in consultation with the:,Securities and Exchange Board of India (SEBI),Ministry of Finance,Reserve Bank of India (RBI),NITI Aayog,Reserve Bank of India (RBI)
Priority Sector Lending (PSL) guidelines by the RBI primarily ensure that:,Banks lend only to the public sector undertakings.,Commercial banks give a minimum percentage of their credit to certain sectors.,Non-Performing Assets (NPAs) are kept below a specified limit.,Banks maintain sufficient cash reserves.,Commercial banks give a minimum percentage of their credit to certain sectors.
"The 'National Logistics Policy', launched recently, aims to:",Reduce logistics cost as a percentage of GDP.,Improve the country's ranking in the Logistics Performance Index (LPI).,Promote multimodal transportation.,All of the above,All of the above
What is the primary focus of the 'Bharat 6G Alliance (B6GA)'?,Developing satellites for 6G connectivity.,Driving innovation and collaboration in 6G technology.,Setting up 6G spectrum auctions.,Regulating the use of 6G devices.,Driving innovation and collaboration in 6G technology.
Which institution is the custodian of the National Industrial Corridor Development and Implementation Trust (NICDIT)?,Ministry of Commerce and Industry,Ministry of Finance,NITI Aayog,Ministry of Housing and Urban Affairs,Ministry of Commerce and Industry
The 'Emergency Credit Line Guarantee Scheme (ECLGS)' was primarily launched to support:,Large industrial conglomerates.,"Micro, Small and Medium Enterprises (MSMEs) during the COVID-19 pandemic.",The agriculture sector.,Export-oriented units.,"Micro, Small and Medium Enterprises (MSMEs) during the COVID-19 pandemic."
'Blue Economy' primarily refers to the sustainable use of which resource for economic growth?,Renewable energy resources,Minerals,Ocean resources,Forest resources,Ocean resources
"Which index, published by the World Economic Forum (WEF), measures the impact of economic policies and institutions on the environment?",Human Development Index (HDI),Global Competitiveness Index,Environmental Performance Index (EPI),Global Innovation Index,Environmental Performance Index (EPI)
"The 'Carbon Border Adjustment Mechanism (CBAM)', recently in news, is an initiative proposed by:",USA,China,European Union (EU),India,European Union (EU)
The 'Operation Dost' was India's humanitarian assistance effort aimed at which country/countries hit by a massive earthquake?,Pakistan,Iran,Turkiye and Syria,Nepal,Turkiye and Syria
"The 'Quad' group of nations comprises India, USA, Japan, and:",Germany,France,Australia,South Korea,Australia
Which is the latest country to be admitted as a permanent member of the BRICS group?,Indonesia,Nigeria,"Egypt (among others, as of latest expansion)",Turkey,"Egypt (among others, as of latest expansion)"
"The 'IMEC' (India-Middle East-Europe Economic Corridor), discussed at the G20 summit, is a potential alternative to which major Chinese initiative?",Asian Infrastructure Investment Bank (AIIB),Belt and Road Initiative (BRI),Digital Silk Road,Shanghai Cooperation Organisation (SCO),Belt and Road Initiative (BRI)
"The 'Suez Canal', a crucial choke point for global trade, connects the Mediterranean Sea with the:",Black Sea,Caspian Sea,Red Sea,Arabian Sea,Red Sea
The 'Global Minimum Tax' framework (Pillar Two) is primarily aimed at preventing:,Tax evasion by individuals.,Base Erosion and Profit Shifting (BEPS) by multinational corporations.,Money laundering by offshore entities.,Currency manipulation by central banks.,Base Erosion and Profit Shifting (BEPS) by multinational corporations.
The 'Mission LiFE' (Lifestyle for Environment) is an India-led global mass movement aimed at promoting:,The use of electric vehicles only.,Sustainable and climate-friendly behavior by individuals.,Afforestation in arid and semi-arid zones.,Switching to renewable energy sources at the national level.,Sustainable and climate-friendly behavior by individuals.
The 'Net Zero' target for carbon emissions for India is set for the year:,2030,2040,2050,2070,2070
Which of the following is the largest source of India's commercial energy consumption?,Natural Gas,Hydro Power,Coal,Solar and Wind,Coal
"The 'NISAR' project, a joint Earth observation satellite mission, is a collaboration between ISRO and which other space agency?",European Space Agency (ESA),Japan Aerospace Exploration Agency (JAXA),Roscosmos (Russia),NASA (USA),NASA (USA)
"'BHAROS', recently launched by the IIT Madras, is India's indigenous alternative to which operating system?",Windows,iOS,Android,Linux,Android
Which of the following is the launch vehicle used for the Chandrayaan-3 mission?,PSLV-C54,GSLV Mk III (LVM3),SSLV-D2,PSLV XL,GSLV Mk III (LVM3)
"The 'Aditya-L1 Mission', India's first space-based observatory to study the Sun, will be placed in a Halo orbit around which Lagrange point (L point)?",L2,L3,L4,L1,L1
"'Nipah Virus', which recently caused an outbreak in India, is a type of:",Bacterium,Fungus,RNA Virus,Protozoa,RNA Virus
"'Project CHETAK', often seen in defense news, is related to the upgrade of which helicopter fleet of the Indian Armed Forces?",Mi-17,ALH Dhruv,Cheetah and Chetak,Rudra,Cheetah and Chetak
'Deep Ocean Mission (DOM)' of the Government of India primarily focuses on:,Exploring the potential of tidal energy.,Developing a national deep-sea fishing policy.,Exploring deep-sea resources and developing deep-sea technology.,Mapping the Exclusive Economic Zone (EEZ) for oil and gas.,Exploring deep-sea resources and developing deep-sea technology.
"The term 'Quantum Entanglement', a key concept in quantum computing, refers to:",The speed at which quantum computers process data.,"A phenomenon where two quantum particles are linked and share the same fate, regardless of distance.",The maximum number of qubits a quantum computer can handle.,The method used to cool quantum chips to near-absolute zero.,"A phenomenon where two quantum particles are linked and share the same fate, regardless of distance."
Which Indian institution recently launched a first-of-its-kind DNA Database for identifying unidentified bodies?,"AIIMS, New Delhi",ICMR (Indian Council of Medical Research),National Crime Records Bureau (NCRB),"Forensic Science Laboratory (FSL), Delhi",National Crime Records Bureau (NCRB)
The newly developed 'Indigenous Light Combat Helicopter (LCH)' of the Indian Air Force has been named:,Dhruv,Prachand,Tejas,Rudra,Prachand
"'Hyperloop' technology, often in news, is a proposed mode of transport that works by:",Using magnetic levitation in a vacuum-sealed tube.,High-speed rail on dedicated elevated tracks.,Solar-powered electric trains.,Autonomous drone-based delivery system.,Using magnetic levitation in a vacuum-sealed tube.
The 'Gaganyaan Mission' aims to send astronauts into which orbital trajectory?,Geosynchronous Orbit (GEO),Medium Earth Orbit (MEO),Low Earth Orbit (LEO),Lunar Orbit,Low Earth Orbit (LEO)
"'Li-Fi' technology, considered an alternative to Wi-Fi, uses which medium for data transmission?",Radio waves,Microwaves,Infrared radiation,Visible Light,Visible Light
'Mission Indradhanush' of the Government of India is related to:,Electrification of rural areas.,Financial inclusion.,Immunization of children and pregnant women.,Clean drinking water supply.,Immunization of children and pregnant women.
The first indigenous Nuclear Powered Ballistic Missile Submarine (SSBN) of India is:,INS Vikramaditya,INS Khanderi,INS Arihant,INS Kalvari,INS Arihant
"'DART Mission' (Double Asteroid Redirection Test), which was in the news for successfully impacting an asteroid, was a project of:",ISRO,ESA,JAXA,NASA,NASA
The Defence Acquisition Procedure (DAP) 2020 lays special emphasis on:,Increasing defense exports to 10 billion USD.,Promoting joint military exercises with NATO countries.,Boosting indigenous defense manufacturing (Aatmanirbhar Bharat).,Reducing the size of the armed forces.,Boosting indigenous defense manufacturing (Aatmanirbhar Bharat).
'e-Sanjeevani' is a national telemedicine service platform developed by which ministry?,Ministry of IT,Ministry of Health and Family Welfare,Ministry of Rural Development,Ministry of Education,Ministry of Health and Family Welfare
The recently discovered 'Webb's Law' in Physics is primarily related to:,The expansion of the universe.,The behavior of light in a vacuum.,The physics of animal and insect locomotion (walking and running).,Quantum computing algorithms.,The physics of animal and insect locomotion (walking and running).
'Vande Bharat Mission' was an initiative of the Government of India to:,Promote tourism to cultural sites.,Repatriate stranded Indian citizens from abroad during the COVID-19 pandemic.,Launch high-speed rail services.,Provide educational scholarships for non-resident Indians (NRIs).,Repatriate stranded Indian citizens from abroad during the COVID-19 pandemic.
'Operation Samudra Setu' was a Naval exercise focusing on:,Joint maritime security patrol with Quad countries.,Anti-piracy operations in the Gulf of Aden.,Repatriating Indian citizens from foreign countries during COVID-19 using naval ships.,Disaster relief in the Indian Ocean Region.,Repatriating Indian citizens from foreign countries during COVID-19 using naval ships.
The Indian Government is planning to develop a 'Semiconductor Ecosystem' in India with a focus on:,Chip designing only.,"Assembly, Test, Marking, and Packaging (ATMP) only.",Fabrication (FAB) units only.,A complete value chain from design to FAB and ATMP.,A complete value chain from design to FAB and ATMP.
The 'Small Satellite Launch Vehicle (SSLV)' developed by ISRO is primarily designed for:,Launching heavy communication satellites.,Launching small satellites on demand to LEO (Low Earth Orbit).,Interplanetary missions.,Launching crewed missions.,Launching small satellites on demand to LEO (Low Earth Orbit).
The term 'Web 3.0' is most accurately associated with:,Cloud computing.,Centralized server systems.,Decentralized internet built on blockchain technology.,Mobile-first internet architecture.,Decentralized internet built on blockchain technology.
"Which is the largest Science Museum network in India, operating under the Ministry of Culture?","Salar Jung Museum, Hyderabad",National Council of Science Museums (NCSM),"National Museum, New Delhi","Indian Museum, Kolkata",National Council of Science Museums (NCSM)
"Which of the following is the world's first living heritage university, recently given the UNESCO heritage tag?",Nalanda University,Visva-Bharati University,University of Oxford,Jawaharlal Nehru University,Visva-Bharati University
"The 'Similipal Biosphere Reserve', recently in news for its unique black tiger population, is located in which state?",West Bengal,Assam,Madhya Pradesh,Odisha,Odisha
"The 'Global Biodiversity Framework (GBF)', adopted at COP15 of the CBD (Convention on Biological Diversity), is also known as:",Paris Agreement for Biodiversity,Kunming-Montreal Agreement,Nagoya Protocol,Aichi Targets,Kunming-Montreal Agreement
"The term 'Blue Hole', recently discovered in the Yucatan Peninsula, is a type of:",Deep-sea trench,Oceanic volcano,Underwater sinkhole,Submarine canyon,Underwater sinkhole
"The 'Global Stocktake (GST)', a term frequently used in climate change negotiations, is related to the periodic review of the implementation of the:",Kyoto Protocol,Montreal Protocol,Paris Agreement,Rio Declaration,Paris Agreement
The United Nations Climate Change Conference (COP28) was held in:,"Sharm El Sheikh, Egypt","Glasgow, UK","Dubai, UAE","Bonn, Germany","Dubai, UAE"
"'Pusa Basmati 1847', often mentioned in agricultural news, is a new variety developed to be resistant to:",Drought and salinity,Pests and fungi,Blight and blast diseases,High temperatures,Blight and blast diseases
"The 'Great Nicobar Project', which involves significant infrastructure development, is located near which UNESCO Biosphere Reserve?",Sunderbans,Gulf of Mannar,Great Nicobar,Nilgiri,Great Nicobar
Which of the following is a marine mammal that was recently designated as a State Aquatic Animal of Uttar Pradesh?,Gangetic Shark,Smooth-coated Otter,Gangetic Dolphin,Irrawaddy Dolphin,Gangetic Dolphin
"The 'International Big Cat Alliance (IBCA)', launched by India, aims at the conservation of how many major Big Cat species?",Five,Six,Seven,Ten,Seven
The 'Global Ramsar City Accreditation' is associated with the conservation of:,Forests,Deserts,Coral Reefs,Wetlands,Wetlands
"'Project Seabird', a naval infrastructure project, is being developed at which location?",Vishakhapatnam,Kochi,Karwar (Karnataka),Mumbai,Karwar (Karnataka)
The 'EIA' (Environmental Impact Assessment) Notification in India is issued under which Act?,"Water (Prevention and Control of Pollution) Act, 1974","Environment (Protection) Act, 1986","Wildlife (Protection) Act, 1972","Forest (Conservation) Act, 1980","Environment (Protection) Act, 1986"
"The 'Global Methane Pledge', a voluntary agreement, primarily aims to reduce methane emissions from which two major sectors?",Energy and Transport,Industry and Waste,Fossil fuels and Agriculture,Forestry and Cement,Fossil fuels and Agriculture
"The recently restored 'Karakoram Pass', a high mountain pass, is located in the region disputed between India and:",Nepal,Bhutan,China (Aksai Chin),Pakistan,China (Aksai Chin)
"'Sattriya', one of the 8 classical dances of India, is associated with which state?",Manipur,Odisha,Assam,Kerala,Assam
The 'UNESCO World Heritage Site' of Konark Sun Temple is located in:,Tamil Nadu,Karnataka,West Bengal,Odisha,Odisha
The term 'Agroforestry' is a sustainable land-use system that primarily combines trees and shrubs with:,Only livestock,Only crop cultivation,Both agricultural crops and livestock,Only commercial forestry,Both agricultural crops and livestock
The 'National Disaster Response Force (NDRF)' operates under the administrative control of which ministry?,Ministry of Defense,Ministry of Home Affairs,"Ministry of Environment, Forest and Climate Change",Ministry of Social Justice and Empowerment,Ministry of Home Affairs
"The 'Panchamrut' commitments, announced by India at COP26, are related to:",Sustainable water management.,Climate action and emission reduction targets.,Biodiversity conservation.,Financial aid to developing nations.,Climate action and emission reduction targets.
The term 'Inversion of Control' in the context of environment refers to:,A method for managing pollution at the source.,A system for distributing carbon credits.,"An atmospheric phenomenon where temperature increases with altitude, trapping pollutants.",Reversal of the Earth's magnetic poles.,"An atmospheric phenomenon where temperature increases with altitude, trapping pollutants."
"The 'Kafala System', a sponsorship system for migrant workers recently replaced by Saudi Arabia, was primarily criticized for:",Promoting illegal immigration.,High visa fees for workers.,Allowing employers extensive control over workers' residency and employment.,Restricting workers from bringing their families.,Allowing employers extensive control over workers' residency and employment.
"The 'Black Sea Grain Initiative', recently suspended, was an agreement brokered by Turkey and the UN to facilitate the export of food grains from which country?",Russia,Kazakhstan,Ukraine,Iran,Ukraine
The 'Indra' joint military exercise is conducted between India and which country?,USA,France,Russia,Japan,Russia
The annual 'World Economic Situation and Prospects (WESP)' report is released by:,World Bank,International Monetary Fund (IMF),United Nations (UN),World Economic Forum (WEF),United Nations (UN)
Which international organization recently introduced the 'Global Shield' initiative to provide financial protection against climate-related disasters?,G7,G20,UNEP,World Bank,G7
The 'DigiLocker' service is managed by which of the following organizations?,UIDAI,Ministry of Electronics and Information Technology (MeitY),National Informatics Centre (NIC),National Payment Corporation of India (NPCI),Ministry of Electronics and Information Technology (MeitY)
Which country recently became the 8th member of the South Asian Association for Regional Cooperation (SAARC)?,Nepal,Bhutan,Afghanistan,Myanmar,Afghanistan
The term 'Dark Pattern' is associated with:,Cyber warfare strategies.,Unethical user interface design that misleads consumers.,A new material for solar panels.,A type of deep-sea biological phenomenon.,Unethical user interface design that misleads consumers.
India's first Indigenous Aircraft Carrier (IAC-1) was recently commissioned and named as:,INS Kolkata,INS Chennai,INS Vikrant,INS Visakhapatnam,INS Vikrant
The 'PLI (Production Linked Incentive) Scheme' is aimed at boosting domestic manufacturing in which of the following sectors?,Automobiles and Auto Components,Telecom and Networking Products,White Goods (ACs and LEDs),All of the above,All of the above
"Which article of the Indian Constitution, recently discussed in the context of the Delhi government's administrative control, deals with special provisions for the National Capital Territory of Delhi?",Article 239AA,Article 246,Article 280,Article 370,Article 239AA
The 'Green Hydrogen Mission' of India aims to achieve which of the following targets?,To increase renewable energy capacity to 500 GW by 2030.,To produce 5 million tonnes of Green Hydrogen annually by 2030.,To achieve Net Zero emissions by 2047.,To become the largest exporter of Blue Hydrogen.,To produce 5 million tonnes of Green Hydrogen annually by 2030.
Which state's government recently passed a law that reserves 75% of private sector jobs for local youth?,Maharashtra,Karnataka,Haryana,Tamil Nadu,Haryana
The term 'Critical Minerals' in the context of India's policy is important for which of the following industries?,"Renewable Energy (Solar, Wind)",Electric Vehicles and Batteries,Defence and Aerospace,All of the above,All of the above
The 'Mizoram-Tripura-Bangladesh (MTB) Corridor' aims to connect the North-East with Bangladesh via which mode of transport?,Air connectivity,Rail connectivity,Waterways and Road,Pipeline for petroleum products,Waterways and Road
Which of the following is the host nation for the upcoming Summer Olympic Games in 2024?,"Los Angeles, USA","Brisbane, Australia","Paris, France","Tokyo, Japan","Paris, France"
The 'India Semiconductor Mission (ISM)' operates under the administrative control of which Ministry?,Ministry of Commerce and Industry,Ministry of Heavy Industries,Ministry of Electronics and Information Technology (MeitY),Ministry of Science and Technology,Ministry of Electronics and Information Technology (MeitY)
Which Indian city was recently added to the UNESCO Creative Cities Network in the field of Literature?,Varanasi,Gwalior,Kozhikode,Jaipur,Kozhikode
"The 'Chabahar Port', which is strategically important for India's trade with Afghanistan and Central Asia, is located in which country?",Pakistan,Oman,Iran,UAE,Iran
The 'Asian Development Bank (ADB)' has its headquarters in:,"Tokyo, Japan","Beijing, China","Manila, Philippines","Seoul, South Korea","Manila, Philippines"
"What is 'Samudra Gupta' (not the historical figure), recently seen in news related to the Indian Navy?",A new naval base in the Andaman Islands.,A high-tech surveillance drone.,India's first underwater metro project.,The new nomenclature for the Indian Ocean Region's security strategy.,The new nomenclature for the Indian Ocean Region's security strategy.
The 'P $	ext{M}$ $	ext{Kisan}$ $	ext{Samman}$ $	ext{Nidhi}$' scheme is a central sector scheme that provides:,Crop insurance to small and marginal farmers.,Minimum Support Price (MSP) for all crops.,Financial benefit to all landholding farmer families.,Subsidized seeds and fertilizers.,Financial benefit to all landholding farmer families.
The 'Global Innovation Index' is published by which international organization?,World Bank,World Economic Forum (WEF),World Intellectual Property Organization (WIPO),UNIDO,World Intellectual Property Organization (WIPO)
The 'Mission Vatsalya' scheme of the Government of India is aimed at achieving which of the following?,Women's empowerment and safety.,Child protection services and welfare.,Universal health coverage.,Promoting skill development for youth.,Child protection services and welfare.
"The 'Kuno National Park', famous for the reintroduction of Cheetahs, is located in which state?",Rajasthan,Gujarat,Madhya Pradesh,Maharashtra,Madhya Pradesh
Which of the following bodies regulates the trading of derivatives in the Indian commodity market?,Reserve Bank of India (RBI),Securities and Exchange Board of India (SEBI),Forward Markets Commission (FMC) (merged with SEBI),NITI Aayog,Securities and Exchange Board of India (SEBI)
The 'Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES)' is often referred to as the $	ext{IPCC}$ for:,Oceans,Biodiversity,Desertification,Forestry,Biodiversity
"The 'Digital Personal Data Protection Act, 2023' primarily aims to regulate:",The use of personal data by foreign companies.,The processing of digital personal data by entities.,Cross-border data flow for government agencies.,The sharing of Aadhar data with private entities.,The processing of digital personal data by entities.
Which river system is associated with the 'Ken-Betwa Link Project'?,Godavari-Krishna,Ganga-Yamuna,Peninsular rivers (Narmada-Tapi),Yamuna and its tributaries,Yamuna and its tributaries
The 'India Energy Week (IEW)' is an annual flagship event of which Ministry?,Ministry of Power,Ministry of Coal,Ministry of New and Renewable Energy,Ministry of Petroleum and Natural Gas,Ministry of Petroleum and Natural Gas
Which of the following is NOT one of the 8 Core Industries of the Index of Industrial Production (IIP) in India?,Cement,Textiles,Natural Gas,Electricity,Textiles
The 'Kharif Marketing Season (KMS)' in India typically refers to the procurement period for which major crop?,Wheat,Sugarcane,Rice,Mustard,Rice
"The 'Global Water Partnership (GWP)', an international network, focuses on promoting which concept?",Water privatization,Integrated Water Resources Management (IWRM),Desalination technology,Groundwater exploration,Integrated Water Resources Management (IWRM)
"The 'LiDAR' (Light Detection and Ranging) survey technique, often used in infrastructure projects, is primarily useful for:",Detecting underground water sources.,Creating high-resolution 3D maps of the terrain.,Measuring air pollution levels.,Monitoring seismic activity.,Creating high-resolution 3D maps of the terrain.
"Which country recently achieved the feat of cloning a wild Arctic wolf, a landmark in conservation science?",USA,Russia,China,Canada,China
"The 'Project Elephant', launched in 1992, is managed by which Union Ministry?",Ministry of Agriculture and Farmers Welfare,"Ministry of Environment, Forest and Climate Change",Ministry of Tribal Affairs,Ministry of Home Affairs,"Ministry of Environment, Forest and Climate Change"
"The 'G-20 Sherpa' for India, who plays a crucial role in negotiations and preparing for the summit, is currently:",The Minister of External Affairs,The Finance Minister,A retired high-ranking bureaucrat appointed by the PM,The Cabinet Secretary,A retired high-ranking bureaucrat appointed by the PM
The 'Financial Stability and Development Council (FSDC)' is chaired by the:,Governor of RBI,Prime Minister,Union Finance Minister,NITI Aayog Vice-Chairman,Union Finance Minister
Which of the following is the world's largest coal-exporting country?,Australia,Indonesia,Russia,South Africa,Australia
"The 'International Solar Alliance (ISA)', co-founded by India, has its headquarters in:",New Delhi,Bengaluru,Gurugram,Geneva,Gurugram
The 'PM-eVIDYA' program is a Government of India initiative for:,Providing online education using digital infrastructure.,Financial assistance for higher education.,Skill development for women.,Digital literacy in rural areas.,Providing online education using digital infrastructure.
Which organization recently released the 'World Social Report' focusing on global inequalities?,International Labour Organization (ILO),World Bank,United Nations (UN) Department of Economic and Social Affairs (DESA),UNICEF,United Nations (UN) Department of Economic and Social Affairs (DESA)
"The 'Atal Tunnel', the world's longest highway tunnel above 10,000 feet, connects which two valleys in Himachal Pradesh?",Kullu and Chamba,Parvati and Malana,Kullu and Lahaul-Spiti,Kinnaur and Spiti,Kullu and Lahaul-Spiti
The 'Global Terrorism Index' is published by:,United Nations Office on Drugs and Crime (UNODC),Institute for Economics & Peace (IEP),Amnesty International,Interpol,Institute for Economics & Peace (IEP)
The term 'Grey Money' is often used to describe:,Illegal funds generated through drug trafficking.,Income generated through legal means but not reported for tax purposes.,Funds used in political campaigning without proper declaration.,Money involved in cross-border trade without proper documentation.,Income generated through legal means but not reported for tax purposes.
India's first 'Forest University' is proposed to be established in which state?,Uttarakhand,Himachal Pradesh,Telangana,Assam,Telangana
"The $	ext{G-7}$ group of nations includes Canada, France, Germany, Italy, Japan, $	ext{UK}$, $	ext{USA}$, and:",Russia,China,European Union (EU) as a non-enumerated member,India,European Union (EU) as a non-enumerated member
