Question,Option1,Option2,Option3,Option4,CorrectOption
The oath of office to the Governor is administered by the:,President,Chief Minister,Chief Justice of the concerned High Court,Speaker of the Legislative Assembly,Chief Justice of the concerned High Court
The Minimum Wages Act was enacted in which year?,1947,1948,1950,1952,1948
The Welfare State concept in the Indian Constitution is included in the:,Preamble,Fundamental Rights,Directive Principles of State Policy,Seventh Schedule,Directive Principles of State Policy
Which statement is correct regarding the Emergency Provisions?,All three types of emergencies are mentioned in the Constitution.,The proclamation of National Emergency needs approval from the Parliament within one month.,Financial Emergency has been imposed twice in India.,National Emergency automatically suspends all Fundamental Rights.,The proclamation of National Emergency needs approval from the Parliament within one month.
The maximum strength of the Rajya Sabha is:,250,252,545,550,250
The President of India is part of the:,Executive,Legislature,Judiciary,Both Executive and Legislature,Both Executive and Legislature
The 'Question Hour' in Parliament is conducted:,First hour of every sitting,Last hour of every sitting,Before the lunch break,After the lunch break,First hour of every sitting
The Right to Privacy is protected as an intrinsic part of the Right to Life and Personal Liberty under which Article?,Article 14,Article 19,Article 21,Article 32,Article 21
The 'Whip' in a political party is responsible for:,Collecting funds for the party,Ensuring party members vote according to the party line,Chairing all party meetings,Representing the party in court,Ensuring party members vote according to the party line
"Money Bills passed by the Lok Sabha are sent to the Rajya Sabha, which can delay them for a maximum of:",7 days,14 days,30 days,6 months,14 days
Which Article empowers the Parliament to form a new state by separation of territory from any state?,Article 1,Article 2,Article 3,Article 4,Article 3
The Fundamental Duties obligate citizens to safeguard:,Public property,Private property,Both Public and Private property,The dignity of individuals,Public property
The Public Accounts Committee examines the report of the:,Finance Commission,Comptroller and Auditor General (CAG),Attorney General,National Human Rights Commission,Comptroller and Auditor General (CAG)
The Constitutional Amendment Bill must be passed in each House by:,Simple majority,Special majority,Simple majority in Lok Sabha and Special majority in Rajya Sabha,Special majority in each House,Special majority in each House
The National Commission for Women is a:,Constitutional body,Statutory body,Quasi-judicial body,Executive body,Statutory body
The maximum number of nominated members in the Rajya Sabha is:,2,10,12,14,12
The Independence of the Judiciary in the Indian Constitution is borrowed from:,UK Constitution,US Constitution,Canadian Constitution,Irish Constitution,US Constitution
Which Constitutional Amendment Act made it obligatory for the President to give his assent to a Constitutional Amendment Bill?,24th Amendment,42nd Amendment,44th Amendment,86th Amendment,24th Amendment
The concept of 'Residuary Powers' has been borrowed from the Constitution of:,USA,Australia,Canada,Ireland,Canada
Who among the following is not a member of the electoral college for the election of the Vice-President?,Elected members of Lok Sabha,Elected members of Rajya Sabha,Nominated members of Parliament,Members of State Legislative Assemblies,Members of State Legislative Assemblies
The power of 'Judicial Activism' has been largely exercised through which of the following?,Advisory Jurisdiction,Public Interest Litigation (PIL),Original Jurisdiction,Writ Jurisdiction,Public Interest Litigation (PIL)
Which Article allows the formation of Cooperative Societies?,Article 19(1)(c),Article 21A,Article 40,Article 51,Article 19(1)(c)
The provision for the **'Zero Hour'** in the Indian Parliament is:,Mentioned in the Constitution,Mentioned in the Rules of Procedure,An innovation of the Indian Parliament,Borrowed from the UK Parliament,An innovation of the Indian Parliament
The maximum number of seats reserved for Scheduled Castes in the Lok Sabha is as per:,Delimitation Commission,Constitution of India,Election Commission,President's Order,Delimitation Commission
"Which part of the Constitution contains the temporary, transitional, and special provisions?",Part XVII,Part XVIII,Part XIX,Part XXI,Part XXI
Which constitutional amendment made the right to form cooperative societies a fundamental right?,91st Amendment,97th Amendment,99th Amendment,100th Amendment,97th Amendment
The **First Law Commission** was established in India under the chairmanship of:,B.R. Ambedkar,M.C. Setalvad,K.V.K. Sundaram,V.P. Menon,M.C. Setalvad
"The **Official Language** of the Union is Hindi in Devanagari script, as per Article:",Article 343,Article 345,Article 347,Article 348,Article 343
Which body/authority is empowered to regulate the procedure and conduct of business in the Rajya Sabha?,President,Rajya Sabha Secretariat,Vice-President (Chairman),Minister of Parliamentary Affairs,Vice-President (Chairman)
A constitutional amendment involving the federal structure (like Article 368) requires ratification by:,Majority of State Legislatures,At least one-half of the State Legislatures,Two-thirds of the State Legislatures,All State Legislatures,At least one-half of the State Legislatures
Which feature of the Constitution ensures the independence of the CAG?,Fixed tenure and removal process similar to a SC Judge,Appointed by the President,Report submitted directly to Parliament,He is not eligible for further office,Fixed tenure and removal process similar to a SC Judge
The provision for **'Office of Profit'** is dealt with in the Constitution to maintain:,Federalism,Separation of powers,Independence of the legislature,Judicial independence,Independence of the legislature
Which committee recommended the three-tier structure for Panchayati Raj?,Ashok Mehta Committee,L.M. Singhvi Committee,Balwant Rai Mehta Committee,G.V.K. Rao Committee,Balwant Rai Mehta Committee
The **Right to form Associations or Unions** is guaranteed under which Article?,Article 14,Article 19(1)(c),Article 20,Article 22,Article 19(1)(c)
A member of the State Public Service Commission can be removed by the:,Governor on recommendation of CM,President on report of Supreme Court,Governor alone,State Legislature,President on report of Supreme Court
The **Protem Speaker** of the Lok Sabha is:,Appointed by the Vice-President,Elected by the members of Lok Sabha,Usually the senior-most member of the House,The longest serving Speaker of the previous Lok Sabha,Usually the senior-most member of the House
"The total number of judges in the Supreme Court, including the Chief Justice, is determined by the:",President,Parliament,Supreme Court collegium,Ministry of Law and Justice,Parliament
Which Article provides for the **establishment of administrative tribunals**?,Article 323A,Article 324,Article 330,Article 335,Article 323A
The **Fundamental Duties** are:,Justiciable,Non-justiciable,Partially justiciable,Enforceable by an Act of Parliament only,Non-justiciable
The **'Doctrine of Colourable Legislation'** is related to the principle of:,Judicial Review,Separation of Powers,Delegated Legislation,Parliamentary Sovereignty,Delegated Legislation
Which constitutional provision defines the term 'State' for the purposes of Fundamental Rights?,Article 11,Article 12,Article 13,Article 14,Article 12
The High Courts have the power of superintendence over all courts and tribunals throughout the territory under their jurisdiction (excluding military courts) under Article:,Article 214,Article 226,Article 227,Article 229,Article 227
Which is the first city in India to have a Municipal Corporation?,Bombay,Calcutta,Madras,Delhi,Madras
The **'System of Special Majority'** for constitutional amendment is a blend of:,Flexibility and Rigidity,Federalism and Unitarianism,Judicial Review and Parliamentary Supremacy,Rule of Law and Due Process of Law,Flexibility and Rigidity
The **'Doctrine of Pith and Substance'** is used to solve disputes related to:,Fundamental Rights vs. DPSP,President vs. Prime Minister powers,Legislative competence of Union and State,Executive vs. Judicial powers,Legislative competence of Union and State
The **Finance Commission** recommends the distribution of the net proceeds of taxes between the Union and the States under Article:,Article 275,Article 280,Article 292,Article 301,Article 280
Which body conducts the elections to the Panchayats and Municipalities?,Election Commission of India,State Election Commission,Panchayat Development Department,Governor's Office,State Election Commission
The concept of **'Due Process of Law'** is a feature of the constitution of:,India,USA,UK,Japan,USA
The President can issue an order for the enforcement of Fundamental Rights during an Emergency only with respect to:,Article 19,Articles 20 and 21,Any Fundamental Right except Article 20 and 21,All Fundamental Rights,Any Fundamental Right except Article 20 and 21
Which Constitutional Amendment Act added the word **'Integrity'** to the Preamble?,24th Amendment,42nd Amendment,44th Amendment,86th Amendment,42nd Amendment
The **'Doctrine of Severability'** is related to which Article?,Article 13,Article 14,Article 19,Article 368,Article 13
The **Central Bureau of Investigation (CBI)** is established as a:,Constitutional body,Statutory body by an Act of Parliament,Body by an executive resolution,Autonomous body under the Supreme Court,Body by an executive resolution
The **Oath of the President of India** is administered by the:,Vice-President,Prime Minister,Chief Justice of India,Speaker of Lok Sabha,Chief Justice of India
Which Article provides for the **'Protection of monuments and places and objects of national importance'**?,Article 49,Article 50,Article 51,Article 51A,Article 49
The maximum number of members in a **State Legislative Assembly** can be:,400,500,550,600,500
The **'Welfare State'** in India is based on the principle of:,Utilitarianism,Socialism,Communism,Liberalism,Socialism
The **'Anti-Defection Law'** gives the final power to decide on disqualification to the:,Election Commission,Supreme Court,Presiding Officer of the House,President,Presiding Officer of the House
The **Ninth Schedule** primarily deals with the: ,Land reforms and abolition of the Zamindari system,Panchayats and Municipalities,Languages of India,Anti-Defection Law,Land reforms and abolition of the Zamindari system
