Question,Option1,Option2,Option3,Option4,Correct Option
"**""Core Inflation""** is a measure of inflation that:",Includes all items in the CPI.,Excludes food and fuel items.,Focuses only on manufactured goods.,Measures inflation only in the rural sector.,Excludes food and fuel items.
"The **""Financial Stability and Development Council (FSDC)""** is chaired by the:",Prime Minister,Finance Minister,Governor of RBI,"Secretary, Department of Economic Affairs",Finance Minister
Which of the following measures is taken by the RBI to **curb inflation**?,Decrease the Bank Rate,Decrease the Statutory Liquidity Ratio (SLR),Increase the Cash Reserve Ratio (CRR),Buy Government Securities (G-Secs),Increase the Cash Reserve Ratio (CRR)
Which of the following is an example of an **'Invisible'** item in the Current Account of India's BoP?,Merchandise Exports,Foreign Direct Investment (FDI),Banking and IT services exports,Portfolio Investment,Banking and IT services exports
The **Poverty Line** in India is estimated based on the data published by:,NITI Aayog,National Statistical Office (NSO),Reserve Bank of India (RBI),Ministry of Rural Development,National Statistical Office (NSO)
**Disinvestment** by the government means:,Increasing investment in Public Sector Undertakings (PSUs).,Selling off equity of Public Sector Undertakings (PSUs).,Closing down loss-making PSUs.,Providing subsidies to PSUs.,Selling off equity of Public Sector Undertakings (PSUs).
**Net National Product (NNP)** at Factor Cost is also known as:,Gross Domestic Product (GDP),National Income,Gross National Product (GNP),Personal Income,National Income
The **Unified Payments Interface (UPI)** is regulated by which entity?,Reserve Bank of India (RBI),Securities and Exchange Board of India (SEBI),National Payments Corporation of India (NPCI),Ministry of Finance,National Payments Corporation of India (NPCI)
**Non-Performing Assets (NPAs)** of a bank are defined as assets that cease to generate income for the bank for a period of:,30 days,60 days,90 days,180 days,90 days
"The **""Special Drawing Rights (SDR)""** is an international reserve asset created by the:",World Bank,International Monetary Fund (IMF),World Trade Organization (WTO),Asian Development Bank (ADB),International Monetary Fund (IMF)
Which of the following would include **Foreign Portfolio Investment (FPI)**?,Debt and Equity in Indian companies.,Investment in land or real estate.,Establishing a new factory in India.,Setting up a joint venture company.,Debt and Equity in Indian companies.
The **Giffen Paradox** describes a situation where:,Demand for a good falls as its price falls.,Demand for a good rises as its price rises.,Demand for a good is perfectly elastic.,Demand for a good is perfectly inelastic.,Demand for a good rises as its price rises.
The **Economic Survey** in India is officially published by the:,NITI Aayog,Ministry of Finance,Reserve Bank of India,National Statistical Office,Ministry of Finance
The **Financial Year** in India runs from:,April 1 to March 31,January 1 to December 31,July 1 to June 30,October 1 to September 30,April 1 to March 31
Which of the following is the **base year** for calculating GDP in India (current series)?,2004-05,2010-11,2011-12,2017-18,2011-12
The **WPI (Wholesale Price Index)** in India is primarily used for measuring:,Retail inflation,Inflation for all goods and services,Inflation at the producer/wholesale level,Inflation in the agricultural sector only,Inflation at the producer/wholesale level
The **NITI Aayog** was established to replace the:,Finance Commission,Planning Commission,National Development Council (NDC),Inter-State Council,Planning Commission
The primary function of **NABARD** is:,Regulating the stock market.,Providing long-term credit for agriculture and rural development.,Managing foreign exchange reserves.,Formulating industrial policy.,Providing long-term credit for agriculture and rural development.
The term **'Credit Rating Agency'** is primarily regulated by:,Reserve Bank of India (RBI),Securities and Exchange Board of India (SEBI),Insurance Regulatory and Development Authority of India (IRDAI),Ministry of Corporate Affairs,Securities and Exchange Board of India (SEBI)
**FRBM Act (Fiscal Responsibility and Budget Management Act)** aims to:,Increase government spending.,Bring down the fiscal deficit and debt.,Promote foreign direct investment.,Control the current account deficit.,Bring down the fiscal deficit and debt.
Which of the following is a **Direct Tax**?,Goods and Services Tax (GST),Excise Duty,Corporate Tax,Customs Duty,Corporate Tax
The main objective of the **Priority Sector Lending (PSL)** norms is to:,Diversify the bank's portfolio.,Direct a specified portion of bank lending to vulnerable sectors.,Promote international trade.,Improve the credit rating of banks.,Direct a specified portion of bank lending to vulnerable sectors.
The **Monetary Policy Committee (MPC)** is composed of members from:,Only the Reserve Bank of India (RBI),Only the Ministry of Finance,Both RBI and the Central Government,"RBI, Ministry of Finance, and SEBI",Both RBI and the Central Government
**Food-for-Work Programmes** are based on the principle of providing employment for:,Creating permanent national assets.,Controlling inflation.,Generating income for the wealthy.,Promoting skilled labor.,Creating permanent national assets.
"**""Decentralized Planning""** in India refers to:",Planning done by Central Ministries only.,Planning at the State and District/Panchayat level.,Planning only for the industrial sector.,Planning focused on defense and security.,Planning at the State and District/Panchayat level.
"**""Inclusive Growth""** generally does NOT emphasize:",Poverty Reduction,Environmental Sustainability,Rapid GDP Growth,Equality of Opportunity,Rapid GDP Growth
Which of the following is a measure of the **current account deficit**?,Total imports exceed total exports of goods and services.,Government expenditure exceeds government revenue.,Private investment exceeds private savings.,Tax revenue exceeds non-tax revenue.,Total imports exceed total exports of goods and services.
The **'Green Revolution'** in India was most successful in the production of:,Rice,Pulses,Wheat,Oilseeds,Wheat
**'Infant Industry Argument'** for trade protection suggests:,Tariffs protect industries producing baby products.,New industries should be protected until they become globally competitive.,Tariffs should be imposed on industries employing child labor.,Trade should be free for all new industries.,New industries should be protected until they become globally competitive.
"The **""Twin Deficit Problem""** refers to the combination of:",High Inflation and High Unemployment,High Fiscal Deficit and High Current Account Deficit,Low GDP and Low Investment,Low Exports and Low Imports,High Fiscal Deficit and High Current Account Deficit
"**""Demonetization""** in India in 2016 was a policy primarily aimed at:",Reducing inflation,Curbing black money and fake currency,Increasing bank liquidity,Boosting foreign exchange reserves,Curbing black money and fake currency
The **Human Development Index (HDI)** is published by:,World Bank,International Monetary Fund (IMF),United Nations Development Programme (UNDP),World Economic Forum (WEF),United Nations Development Programme (UNDP)
Which of the following is a component of the **Capital Account** of the BoP?,Income on Investments,Remittances by NRIs,External Commercial Borrowings (ECBs),Export of Goods,External Commercial Borrowings (ECBs)
"**""Operation Green""** is a scheme aimed at ensuring better price realization for:",Wheat and Rice,Sugarcane and Cotton,"Potatoes, Onions, and Tomatoes (TOP)",Fruits and Vegetables,"Potatoes, Onions, and Tomatoes (TOP)"
"The concept of **""Universal Basic Income (UBI)""** aims to:","Provide a periodic, unconditional cash transfer to all citizens.",Ensure basic education for all children.,Provide employment guarantee to all.,Offer free public transport.,"Provide a periodic, unconditional cash transfer to all citizens."
The **Tax-to-GDP ratio** is a measure of:,The government's tax collection efficiency.,The total revenue collected by the government.,The total GDP growth rate.,The share of indirect taxes in total tax revenue.,The government's tax collection efficiency.
"**""Open Market Operations (OMOs)""** by the RBI involve:",Trading in foreign currencies.,Direct lending to the government.,Buying and selling of Government Securities (G-Secs).,Regulating the stock market.,Buying and selling of Government Securities (G-Secs).
"The **""Base Rate""** of a bank is:",The minimum rate below which a bank can lend.,The maximum rate at which a bank can lend.,The fixed rate for all types of loans.,The rate decided by the RBI for priority sector lending.,The minimum rate below which a bank can lend.
**Fiscal Deficit** is defined as the excess of total expenditure over:,Total Revenue Receipts,Total Receipts (Revenue + Capital),Total Receipts excluding borrowings,Total Tax Revenue,Total Receipts excluding borrowings
The **Securities and Exchange Board of India (SEBI)** primarily regulates the:,Money Market,Commodity Market,Capital Market,Foreign Exchange Market,Capital Market
"**""Marginal Propensity to Consume (MPC)""** is the concept that measures:",The total consumption of an economy.,The change in consumption due to a change in income.,The proportion of income saved.,The desire of people to consume more.,The change in consumption due to a change in income.
"The **""Terms of Trade""** of a country are:",The total value of its exports and imports.,The ratio of its export prices to its import prices.,The total number of trade agreements.,The restrictions on trade imposed by the WTO.,The ratio of its export prices to its import prices.
The **Pradhan Mantri Jan-Dhan Yojana (PMJDY)** is primarily aimed at:,Providing insurance coverage.,Promoting financial inclusion.,Providing direct cash transfers.,Offering subsidized housing loans.,Promoting financial inclusion.
Which of the following is the largest source of **non-tax revenue** for the Central Government?,Interest Receipts,Dividends and Profits from PSUs,External Grants,Fees and Fines,Dividends and Profits from PSUs
"**""Crowding Out""** effect in an economy refers to:",Increased government spending leading to increased private investment.,Increased government borrowing leading to reduced private investment.,Increased exports leading to reduced imports.,Increased money supply leading to reduced interest rates.,Increased government borrowing leading to reduced private investment.
"**""Liquidity Trap""** is a situation in which:",Monetary policy becomes very effective.,"Interest rates fall to near zero, and monetary policy becomes ineffective.",The supply of money is perfectly inelastic.,Banks refuse to lend money to the public.,"Interest rates fall to near zero, and monetary policy becomes ineffective."
"**""Sunrise Industries""** are typically characterized by:",High growth potential and rapid technological change.,Declining demand and low profit margins.,Dependence on traditional methods of production.,High capital intensity and low labor employment.,High growth potential and rapid technological change.
"The concept of **""Transfer Payments""** includes:",Taxes paid by individuals.,Wages paid to government employees.,"Pensions, scholarships, and unemployment benefits.",Profits earned by public sector companies.,"Pensions, scholarships, and unemployment benefits."
"**""Revenue Deficit""** is the difference between:",Revenue Expenditure and Revenue Receipts.,Total Expenditure and Total Receipts.,Capital Expenditure and Capital Receipts.,Fiscal Deficit and Primary Deficit.,Revenue Expenditure and Revenue Receipts.
"The **""Shadow Banking System""** primarily comprises:",Foreign banks operating in India.,Non-Banking Financial Companies (NBFCs) and other non-bank financial intermediaries.,Cooperative banks.,Fintech companies.,Non-Banking Financial Companies (NBFCs) and other non-bank financial intermediaries.
"**""Stochastic Shocks""** in the economy usually refer to:","Predictable, cyclical fluctuations.",Unpredictable external events like oil price hikes or pandemics.,Policy changes by the central bank.,Planned investment cycles.,Unpredictable external events like oil price hikes or pandemics.
"The primary goal of the **""Make in India""** initiative is:",To boost foreign travel and tourism.,To promote manufacturing and attract foreign investment.,To increase exports of agricultural goods.,To control the imports of luxury goods.,To promote manufacturing and attract foreign investment.
"**""Elasticity of Demand""** measures the responsiveness of:",Price to changes in supply.,Quantity demanded to changes in price or income.,Supply to changes in demand.,Total revenue to changes in profit.,Quantity demanded to changes in price or income.
"**""P-Notes (Participatory Notes)""** are associated with:",Foreign Institutional Investment (FII) in Indian capital markets.,Government bonds for infrastructure financing.,Private sector venture capital funding.,Small savings schemes run by the post office.,Foreign Institutional Investment (FII) in Indian capital markets.
"The **""Goods and Services Tax (GST)""** in India is an example of:",A Direct Tax,A Progressive Tax,An Indirect Tax,A Local Tax,An Indirect Tax
"The **""Lender of Last Resort""** function in India is performed by the:",State Bank of India (SBI),Reserve Bank of India (RBI),Ministry of Finance,Securities and Exchange Board of India (SEBI),Reserve Bank of India (RBI)
"**""Import Cover""** is a measure of:",The proportion of imports covered by domestic production.,The number of months of imports that can be paid for by a country's foreign exchange reserves.,The tariff imposed on imported goods.,The ratio of imports to GDP.,The number of months of imports that can be paid for by a country's foreign exchange reserves.
"The term **""Financial Inclusion""** refers to:",Including all financial institutions under the RBI.,Providing access to financial services to all sections of the society.,Including finance in the school curriculum.,Making all financial markets fully automated.,Providing access to financial services to all sections of the society.
"Which of the following is a key feature of the **""Kharif Season""**?",Crops are harvested in winter.,It coincides with the South-West Monsoon.,Crops include wheat and barley.,Sowing takes place in October-November.,It coincides with the South-West Monsoon.
"The primary objective of the **""Startup India""** scheme is to:","Promote traditional, labor-intensive industries.",Encourage entrepreneurship and innovation.,Increase government control over new businesses.,"Fund large, established corporate houses.",Encourage entrepreneurship and innovation.
"**""Current Account Convertibility""** of the Rupee means:",Freedom to convert Rupee for all trade-related transactions.,"Full freedom to convert Rupee for all purposes, including capital transactions.",Exchange rate is fully determined by the market.,The Rupee is fixed against the US Dollar.,Freedom to convert Rupee for all trade-related transactions.
"**""Black Money""** is defined as income that is:",Earned from illegal activities.,Not disclosed to the tax authorities.,Used only for consumption purposes.,Held only in foreign banks.,Not disclosed to the tax authorities.
"**""Purchasing Power Parity (PPP)""** exchange rate is used to:",Stabilize the foreign exchange market.,Compare the income levels of countries by adjusting for cost of living.,Calculate the exact market exchange rate.,Measure the inflation rate in two countries.,Compare the income levels of countries by adjusting for cost of living.
"The **""Debt to GDP Ratio""** measures:",The country's ability to service its foreign debt.,The size of the government's total debt relative to the country's economic output.,The ratio of public sector debt to private sector debt.,The amount of money the central bank owes.,The size of the government's total debt relative to the country's economic output.
"**""Zero Budget Natural Farming (ZBNF)""** is a method that promotes:",Use of high-yield variety seeds.,Chemical-free agriculture.,Intensive use of irrigation.,High-cost mechanization.,Chemical-free agriculture.
"The **""Elasticity of Supply""** of a good is zero. This means the supply curve is:",Perfectly Elastic,Perfectly Inelastic,Unitary Elastic,Downward Sloping,Perfectly Inelastic
Which of the following institutions is responsible for regulating the **Pension Funds** in India?,RBI,SEBI,IRDAI,Pension Fund Regulatory and Development Authority (PFRDA),Pension Fund Regulatory and Development Authority (PFRDA)
"The **""Marginal Cost of Funds Based Lending Rate (MCLR)""** is a reference lending rate fixed by:",The Reserve Bank of India (RBI),The Monetary Policy Committee (MPC),Individual Commercial Banks,The Ministry of Finance,Individual Commercial Banks
"**""Securitization""** in finance refers to the process of:",Converting illiquid assets into marketable securities.,Increasing a bank's capital adequacy ratio.,Selling government debt to the public.,Regulating the stock market.,Converting illiquid assets into marketable securities.
"**""Fiscal Drag""** occurs when:",Government spending decreases.,The growth of money supply slows down.,Inflation pushes income earners into higher tax brackets.,Banks reduce their lending rates.,Inflation pushes income earners into higher tax brackets.
"**""India's Forex Reserves""** typically include:","Foreign Currency Assets, Gold, SDRs, and Reserve Tranche Position.",Only Foreign Currency Assets.,Foreign Direct Investment (FDI) only.,Gold and Silver bullion only.,"Foreign Currency Assets, Gold, SDRs, and Reserve Tranche Position."
"**""Dumping""** in international trade refers to:",Exporting a good at a price lower than its domestic selling price.,Selling goods in a foreign market at a profit.,Imposing heavy tariffs on imports.,Subsidizing domestic production.,Exporting a good at a price lower than its domestic selling price.
"The **""E-commerce""** policy in India is primarily regulated by the:",Reserve Bank of India (RBI),Department for Promotion of Industry and Internal Trade (DPIIT),Ministry of Electronics and IT,Securities and Exchange Board of India (SEBI),Department for Promotion of Industry and Internal Trade (DPIIT)
"**""Base Effect""** in inflation measurement refers to the impact of:",The government's base year for calculations.,A significant price change in the corresponding period of the previous year.,Changes in the weight of items in the price index.,The base rate fixed by the RBI.,A significant price change in the corresponding period of the previous year.
"The **""National Income""** is calculated as:",GDP at Market Price,GNP at Market Price,NNP at Factor Cost,NNP at Market Price,NNP at Factor Cost
"The **""Multiplier Effect""** in the economy suggests that:",An initial change in investment or spending causes a smaller final change in national income.,An initial change in investment or spending causes a larger final change in national income.,Only government expenditure can cause a change in national income.,Tax cuts have no effect on national income.,An initial change in investment or spending causes a larger final change in national income.
The main purpose of establishing **Small Industries Development Bank of India (SIDBI)** is to:,Regulate the capital market.,"Provide finance for micro, small, and medium enterprises (MSMEs).",Manage the government's public debt.,Provide housing loans to the urban poor.,"Provide finance for micro, small, and medium enterprises (MSMEs)."
"The **""Narasimham Committee""** reports are primarily associated with:",Tax Reforms,Banking Sector Reforms,Trade Policy Reforms,Agricultural Subsidies,Banking Sector Reforms
"**""Fiscal Consolidation""** refers to:",The policy of increasing the fiscal deficit rapidly.,The policy aimed at reducing the government's fiscal deficit and accumulating debt.,The process of merging all public sector banks.,The strategy to increase government revenue through new taxes.,The policy aimed at reducing the government's fiscal deficit and accumulating debt.
"**""Gold Tranche"" (Reserve Tranche Position)** is a term associated with:",World Bank,World Trade Organization (WTO),International Monetary Fund (IMF),Asian Development Bank (ADB),International Monetary Fund (IMF)
"The concept of **""Poverty Headcount Ratio""** measures:",The total number of people living below the poverty line.,The severity of poverty among the poor.,The number of people transitioning out of poverty.,The depth of poverty below the poverty line.,The total number of people living below the poverty line.
"The **""TRIMS (Trade-Related Investment Measures)""** agreement is part of the guidelines set by:",IMF,World Bank,WTO,UNCTAD,WTO
"The **""Capital Adequacy Ratio (CAR)""** of a bank is the ratio of its capital to its:",Total liabilities,Risk-Weighted Assets,Total deposits,Total loans,Risk-Weighted Assets
"The **""Inflation Targeting""** framework in India is currently defined by the:","Reserve Bank of India Act, 1934","Securities Contracts (Regulation) Act, 1956","Banking Regulation Act, 1949","Companies Act, 2013","Reserve Bank of India Act, 1934"
"**""Creeping Inflation""** is characterized by a price rise that is:",Very rapid and uncontrollable.,Steady and high (above 10%).,Very slow and mild (around 2-3%).,"Negative, leading to deflation.",Very slow and mild (around 2-3%).
"The **""PM Gati Shakti Master Plan""** is an initiative for:",Social sector development.,Multi-modal connectivity and infrastructure projects.,Digital literacy promotion.,Agricultural market reforms.,Multi-modal connectivity and infrastructure projects.
"**""Revenue Neutral Rate (RNR)""** is a term most associated with the introduction of:",Income Tax,Goods and Services Tax (GST),Corporate Tax,Wealth Tax,Goods and Services Tax (GST)
"**""Open Access""** in the context of the power sector refers to:",Freedom for generators to sell power to multiple distribution companies.,Government ownership of all power grids.,Free electricity for all consumers.,Exclusive rights to a single power distributor.,Freedom for generators to sell power to multiple distribution companies.
"The **""Base Rate""** system was replaced by the:",Marginal Standing Facility (MSF),Statutory Liquidity Ratio (SLR),Marginal Cost of Funds Based Lending Rate (MCLR),Repo Rate,Marginal Cost of Funds Based Lending Rate (MCLR)
Which of the following is the **most effective way** to address structural unemployment?,Increasing the Repo Rate,Providing short-term loans,Investing in skill development and training programs,Offering unemployment benefits,Investing in skill development and training programs
"The concept of **""Trickle-down effect""** in economics is primarily related to:",Monetary policy easing,The belief that economic growth for the rich will benefit the poor.,The distribution of essential commodities,Reducing the tax burden on the middle class,The belief that economic growth for the rich will benefit the poor.
"The **""Ways and Means Advances (WMA)""** facility is provided by the RBI to:",Commercial Banks,State Governments only,Central and State Governments,Private Corporations,Central and State Governments
A sustained fall in the general price level is known as:,Inflation,Stagflation,Deflation,Reflation,Deflation
Which index is considered the **benchmark for the RBI's inflation targeting** mandate?,WPI (Wholesale Price Index),CPI-IW (Consumer Price Index - Industrial Workers),CPI-C (Consumer Price Index - Combined),Producer Price Index (PPI),CPI-C (Consumer Price Index - Combined)
"The term **""Hot Money""** usually refers to:",Money earned from illegal activities,Short-term capital flows seeking the highest interest rate/return,Government-issued bonds and treasury bills,Foreign exchange held by the central bank,Short-term capital flows seeking the highest interest rate/return
"**""Bharat Net Project""** is related to:",Connecting all Gram Panchayats with high-speed internet.,Setting up national optical fiber manufacturing units.,Developing satellite communication.,Providing free Wi-Fi in all cities.,Connecting all Gram Panchayats with high-speed internet.
"Which of the following describes **""Frictional Unemployment""**?",Unemployment due to a lack of skills.,Temporary unemployment that occurs when people move between jobs.,Unemployment caused by the business cycle.,Unemployment in the agricultural sector during the non-sowing season.,Temporary unemployment that occurs when people move between jobs.
"The main objective of the **""Gold Monetisation Scheme (GMS)""** is to:",Reduce the price of gold in the domestic market.,Bring household gold into the formal banking system.,Promote gold jewelry exports.,Encourage the mining of gold in India.,Bring household gold into the formal banking system.
"**""Tax Buoyancy""** refers to:",The percentage increase in tax revenue due to discretionary policy changes.,The responsiveness of tax revenue to changes in GDP.,The ratio of direct tax to indirect tax.,The stability of tax revenue during a recession.,The responsiveness of tax revenue to changes in GDP.
"Which of the following is NOT a feature of the **""Public Distribution System (PDS)""**?",Providing subsidized food and non-food items.,Open-ended procurement of food grains.,Regulated by the Ministry of Rural Development.,Implemented through Fair Price Shops (FPS).,Regulated by the Ministry of Rural Development.
"The term **""Yield Curve""** represents the relationship between:",Interest rates and inflation.,Bond yields and their maturities.,GDP growth and unemployment.,Money supply and credit creation.,Bond yields and their maturities.
"**""Quantitative Easing (QE)""** is a monetary policy tool primarily involving:",The central bank selling large amounts of government bonds.,The central bank buying large amounts of government bonds.,The central bank directly lending to commercial banks.,The central bank increasing the interest rate.,The central bank buying large amounts of government bonds.
"The concept of **""Demographic Dividend""** implies:",A decline in the death rate.,An increase in the proportion of the working-age population.,A high dependency ratio.,A stable population growth rate.,An increase in the proportion of the working-age population.
"**""Repo Rate""** is a tool used by the RBI to control:",Fiscal deficit,Money supply and inflation,Trade balance,Foreign exchange reserves,Money supply and inflation
"The **""Primary Deficit""** is calculated by subtracting **interest payments** from the:",Fiscal Deficit,Revenue Deficit,Budgetary Deficit,Capital Deficit,Fiscal Deficit
"The main objective of the **""Financial Sector Legislative Reforms Commission (FSLRC)""** was to:",Draft new banking legislation.,Review and rewrite the financial sector laws in India.,Regulate Non-Banking Financial Companies.,Recommend a single financial regulator.,Review and rewrite the financial sector laws in India.
"The **""Capital Account Convertibility""** refers to the freedom to convert Rupee for:",Trade in goods and services only.,Investment and capital-related transactions.,Current account transactions only.,Remittances and gifts.,Investment and capital-related transactions.
"Which institution manages the **""Contingency Fund of India""**?",The President of India,The Finance Minister,The Cabinet Committee on Economic Affairs,The Finance Secretary on behalf of the President,The Finance Secretary on behalf of the President
"**""Trade Discount""** is a reduction offered on the **list price** of goods and is usually:",Recorded in the books of accounts.,Not recorded in the books of accounts.,Only applicable to cash payments.,A form of subsidy from the government.,Not recorded in the books of accounts.
"The concept of **""V-shaped recovery""** in economics refers to:",A slow recovery after a deep recession.,A rapid and strong rebound after a sharp decline.,A prolonged period of stagnation.,A recovery characterized by slow growth and high unemployment.,A rapid and strong rebound after a sharp decline.
"**""Digital India""** is an initiative focused on:",Transforming India into a digitally empowered society and knowledge economy.,Promoting the export of Indian software.,Providing free mobile phones to the poor.,Regulating social media platforms.,Transforming India into a digitally empowered society and knowledge economy.
"**""Balance of Trade (BoT)""** is the difference between:",Total exports and total imports of goods (merchandise).,Total exports and total imports of goods and services.,Current account balance and capital account balance.,Total foreign exchange inflow and outflow.,Total exports and total imports of goods (merchandise).
"The term **""Micro-Finance""** refers to:",Large-scale lending to corporations.,Provision of small amounts of credit and financial services to the poor.,Lending only to the agricultural sector.,Government loans for infrastructure projects.,Provision of small amounts of credit and financial services to the poor.
"Which body compiles the **""Index of Industrial Production (IIP)""**?",Reserve Bank of India (RBI),NITI Aayog,National Statistical Office (NSO),Ministry of Commerce and Industry,National Statistical Office (NSO)
"**""Monetary transmission mechanism""** refers to how policy rate changes affect:",Government tax collection.,Fiscal deficit.,"The overall economy through interest rates, credit, and asset prices.",The exchange rate only.,"The overall economy through interest rates, credit, and asset prices."
"The **""WTO's Agreement on Agriculture (AoA)""** deals with which type of subsidies?","Green Box, Blue Box, and Amber Box","Red Box, Yellow Box, and Green Box","Open Box, Closed Box, and Grey Box","Black Box, White Box, and Red Box","Green Box, Blue Box, and Amber Box"
"**""Angel Investors""** primarily provide funding to:","Large, established corporations.",Startups in their initial stages.,Public Sector Undertakings.,Real estate projects.,Startups in their initial stages.
"The largest component of India's **""Capital Account""** (inflow) is typically:",External Commercial Borrowings (ECBs),Foreign Direct Investment (FDI),Non-Resident Indian (NRI) Deposits,Short-term trade credit,Foreign Direct Investment (FDI)
"**""Primary Sector""** of the Indian economy includes:",Mining and Quarrying,Banking and Insurance,Manufacturing and Construction,Transport and Communication,Mining and Quarrying
The difference between **GNP and GDP** is:,Net factor income from abroad.,Depreciation.,Net indirect taxes.,Transfer payments.,Net factor income from abroad.
"The main objective of the **""Mashelkar Committee""** was related to:",Reforming the tax structure.,E-governance implementation.,Vehicle emission standards.,Financial inclusion strategy.,Vehicle emission standards.
Which of the following is NOT a feature of **India's socialist pattern of society** (pre-1991)?,Dominance of the Public Sector,Strict Industrial Licensing (License Raj),Emphasis on Self-Reliance (Import Substitution),Free Trade and Privatization,Free Trade and Privatization
"The **""Consumer Protection Act""** aims to protect consumers against:",Defective goods and unfair trade practices.,High interest rates.,High income tax.,Fluctuations in the stock market.,Defective goods and unfair trade practices.
"**""Dematerialization""** in the context of the stock market refers to:",Converting physical securities into electronic form.,Closing down stock exchanges.,Creating a new derivative market.,Restricting foreign investment.,Converting physical securities into electronic form.
"The concept of **""Bad Bank""** is typically created to address:",High-interest rate environment.,Accumulation of Non-Performing Assets (NPAs) in the banking system.,Foreign currency fluctuation risk.,Lack of capital in rural banks.,Accumulation of Non-Performing Assets (NPAs) in the banking system.
"The **""PM-KISAN Scheme""** provides income support to:",All landholding farmer families.,Only marginal and small farmers.,Only tenant farmers.,Only farmers growing cash crops.,All landholding farmer families.
"The main objective of the **""NITI Aayog""** is to function as a:",Lending institution for states.,Policy 'Think Tank' for the Government of India.,Regulatory body for financial markets.,Body for constitutional dispute resolution.,Policy 'Think Tank' for the Government of India.
"**""Food Security""** in India primarily involves ensuring availability, accessibility, and:",Affordability,Environmental sustainability,Technological advancement,Export potential,Affordability
"Which of the following describes **""Regressive Taxation""**?",Tax rate increases as income increases.,Tax rate decreases as income increases.,Tax rate remains the same regardless of income.,Tax is levied only on consumption.,Tax rate decreases as income increases.
"The **""Weighted Average Call Rate (WACR)""** is a daily reference rate for the:",G-Sec market.,Forex market.,Overnight money market.,Equity market.,Overnight money market.
"**""Hurdle Rate""** in investment appraisal refers to the minimum acceptable:",Project completion time.,Rate of return for an investment.,Cost of raw materials.,Level of employment generated.,Rate of return for an investment.
The difference between the **market value of exports and imports** of services is part of the:,Capital Account,Current Account,Official Reserve Account,Foreign Investment Account,Current Account
"**""Blue Economy""** is a concept related to:",Sustainable use of terrestrial resources.,Sustainable use of marine resources and oceans.,The manufacturing sector's contribution to GDP.,The IT and software services industry.,Sustainable use of marine resources and oceans.
