Question,Option1,Option2,Option3,Option4,CorrectOption
Which soil type is also known as 'Regur Soil' and is suitable for cotton cultivation?,Alluvial Soil,Red Soil,Black Soil,Laterite Soil,Black Soil
The 'Silent Valley National Park' is located in which state?,Karnataka,Kerala,Tamil Nadu,Andhra Pradesh,Kerala
"The 'Barren Island', India's only confirmed active volcano, is located in the:",Lakshadweep Islands,Andaman Islands,Gulf of Kutch,Gulf of Mannar,Andaman Islands
The 'Palghat Gap' (Palakkad Gap) provides a natural passage between:,North India and South India,Western Ghats and Eastern Ghats,Tamil Nadu and Kerala,Deccan Plateau and Konkan Coast,Tamil Nadu and Kerala
"The highest population density in India, according to the 2011 Census, is in:",West Bengal,Bihar,Uttar Pradesh,Kerala,Bihar
Which port is known as the 'Queen of the Arabian Sea'?,Mumbai,Kochi,Kandla,Visakhapatnam,Kochi
The 'Doabs' are the fertile plain lands found between:,Two hills,Two rivers,River and Sea,River and Desert,Two rivers
Which one of the following mountain passes is located in the state of Sikkim?,Shipki La,Rohtang Pass,Nathu La,Zoji La,Nathu La
The 'Monsoon Burst' refers to:,The rapid decrease in rainfall during the monsoon season.,The sudden violent onset of rainfall in the early June.,The retreat of the South-West Monsoon.,The period of heavy rainfall in North-Western India.,The sudden violent onset of rainfall in the early June.
The 'Keibul Lamjao National Park' is famous for the 'Sangai' (dancing deer) and is located in:,Assam,Manipur,Nagaland,Mizoram,Manipur
The 'Dharwar system' rocks of India are mainly important for:,Coal deposits,Petroleum deposits,"Metallic minerals (Iron, Gold)",Non-metallic minerals (Limestone),"Metallic minerals (Iron, Gold)"
The largest producer of coffee in India is:,Karnataka,Kerala,Tamil Nadu,Andhra Pradesh,Karnataka
Which one of the following is a major tributary of the River Ganga?,Tapti,Sutlej,Son,Narmada,Son
The 'Great Indian Bustard' is primarily found in the:,Temperate forests of Himalayas,Coastal areas of Odisha,Desert and semi-desert grasslands,Tropical evergreen forests,Desert and semi-desert grasslands
The Indian Standard Time (IST) is based on the longitude of:,$80^\circ$ E,$82^\circ 30'$ E,$82^\circ$ E,$90^\circ$ E,$82^\circ 30'$ E
Which state in India shares a boundary with the maximum number of other states?,Maharashtra,Madhya Pradesh,Uttar Pradesh,Andhra Pradesh,Uttar Pradesh
The 'Meghalaya Plateau' is primarily separated from the Peninsular Plateau by the:,Great Boundary Fault,Malda Gap (Rajmahal-Garo Gap),Western Ghats,Thar Desert,Malda Gap (Rajmahal-Garo Gap)
Which one of the following is NOT a characteristic feature of the Himalayan rivers?,Deep gorges and V-shaped valleys,Perennial flow of water,Non-navigable in their upper course,Seasonal flow of water,Seasonal flow of water
"The highest dam in India, 'Tehri Dam', is constructed on the river:",Ganga,Bhagirathi,Yamuna,Alaknanda,Bhagirathi
The tropical cyclones in the Bay of Bengal mostly develop during the months of:,December-February,March-May,October-November,June-September,October-November
The famous 'Bokaro Steel Plant' was established with the collaboration of which country?,Germany,USA,Russia (then USSR),UK,Russia (then USSR)
The largest producer of Rubber in India is:,Kerala,Karnataka,Tripura,West Bengal,Kerala
Which one of the following is a key reason for the retreat of the South-West Monsoon?,Low-pressure over North India,High-pressure development over North India,Heating of the Indian Ocean,Shifting of the ITCZ to the north,High-pressure development over North India
The 'Palk Strait' separates India from which country?,Sri Lanka,Maldives,Bangladesh,Pakistan,Sri Lanka
The 'Strait of Gibraltar' connects which two water bodies?,Red Sea and Mediterranean Sea,Mediterranean Sea and Atlantic Ocean,North Sea and Atlantic Ocean,Black Sea and Mediterranean Sea,Mediterranean Sea and Atlantic Ocean
Which continent lacks a desert?,South America,North America,Europe,Asia,Europe
The 'Great Artesian Basin' is a significant geographical feature of:,Canada,China,Australia,Argentina,Australia
The concept of 'Demographic Transition' explains the change in:,Population age structure,Population distribution,Birth and death rates,Rural-urban population ratio,Birth and death rates
Which country is the largest producer of natural rubber in the world?,Malaysia,Vietnam,Indonesia,Thailand,Thailand
The 'Kyoto Protocol' is related to:,Protection of wetlands,Reduction of greenhouse gas emissions,Conservation of biodiversity,International trade regulations,Reduction of greenhouse gas emissions
The 'Tropic of Capricorn' passes through which South American country?,Ecuador,Peru,Brazil,Colombia,Brazil
'Slash-and-burn' agriculture is commonly known as 'Jhum' in which part of India?,North India,Western India,North-Eastern India,Southern India,North-Eastern India
Which two countries are separated by the 'Maginot Line'?,Germany and Poland,France and Germany,India and China,North and South Korea,France and Germany
The term 'Megapolis' refers to:,A single-function city,A city with population over 1 million,A clustered group of large cities (conurbation),"A small, historical city",A clustered group of large cities (conurbation)
The 'Suez Canal' connects which two seas?,Red Sea and Mediterranean Sea,Black Sea and Caspian Sea,Arabian Sea and Red Sea,Mediterranean Sea and Black Sea,Red Sea and Mediterranean Sea
The 'Ozone Layer' depletion is primarily caused by:,Carbon Dioxide ($CO_2$),Methane ($CH_4$),Chlorofluorocarbons (CFCs),Sulphur Dioxide ($SO_2$),Chlorofluorocarbons (CFCs)
Which is the world's highest navigable lake?,Lake Victoria,Lake Baikal,Lake Titicaca,Great Salt Lake,Lake Titicaca
The 'Taiga' biome is dominated by which type of vegetation?,Deciduous trees,Coniferous trees,Grasses,Shrubs and lichens,Coniferous trees
The 'International Date Line' is a conceptual line that primarily follows the:,$0^\circ$ Longitude,$90^\circ$ West Longitude,$180^\circ$ Longitude,Equator,$180^\circ$ Longitude
Which of the following is a major export item from the 'Copper Belt' of Africa?,Iron Ore,Bauxite,Petroleum,Copper,Copper
The 'Doldrums' are a belt of:,High pressure near the tropics,Low pressure near the Equator,Strong winds at high latitudes,Permanent cyclones,Low pressure near the Equator
The 'Tsunami' is generally caused by:,Strong atmospheric winds,Lunar and solar gravitational pull,Submarine earthquakes and volcanic eruptions,Cyclonic storms,Submarine earthquakes and volcanic eruptions
Which country is the leading producer of Wheat in the world?,India,Russia,China,USA,China
The 'Black Earth' (Chernozem) soil is typically found in the:,Equatorial region,Taiga region,Steppes of Ukraine/Russia,Mediterranean region,Steppes of Ukraine/Russia
The largest landlocked country in the world is:,Sudan,Kazakhstan,Mongolia,Chad,Kazakhstan
Which of the following planets is known as the 'Evening Star'?,Mars,Jupiter,Venus,Mercury,Venus
The 'Prime Meridian' passes through:,Paris,New York,Greenwich,New Delhi,Greenwich
The largest river in South America by volume of water is:,Parana River,Amazon River,Orinoco River,Magdalena River,Amazon River
The famous 'Niagara Falls' is located on the border between:,USA and Canada,Brazil and Argentina,China and Russia,India and Nepal,USA and Canada
Which industry is primarily associated with the 'Ruhr region' of Germany?,Textiles,Automobiles,Iron and Steel,Pharmaceuticals,Iron and Steel
'Pastoral Nomadism' is a form of agriculture mainly practiced in:,Monsoon Asia,Tropical Lowlands,Arid and semi-arid regions,Mediterranean region,Arid and semi-arid regions
Which is the deepest oceanic trench in the world?,Tonga Trench,Java Trench,Puerto Rico Trench,Mariana Trench,Mariana Trench
The 'North Sea Gas Field' is a major source of energy for which region?,Eastern Europe,Scandinavia and UK,Middle East,Southeast Asia,Scandinavia and UK
"The 'Chinook' is a warm, dry wind that descends the eastern slopes of which mountain range?",Alps,Rockies,Himalayas,Andes,Rockies
Which factor is the most important for the formation of Laterite soils?,Low temperatures and moderate rainfall,High temperatures and high rainfall,Arid climate and high pressure,Presence of volcanic ash,High temperatures and high rainfall
The 'Ecumene' refers to the:,Uninhabited portion of the Earth's surface,Permanently inhabited portion of the Earth's surface,Highly industrialized zone of the world,Coldest parts of the world,Permanently inhabited portion of the Earth's surface
The largest producer of Bauxite (key ore for Aluminium) in the world is:,India,Australia,China,Brazil,Australia
The 'Dead Sea' is known for its high salinity because of:,High evaporation and no outlet,High inflow from large rivers,Volcanic activity at its base,Frequent tsunamis,High evaporation and no outlet
Which of the following is an example of a 'Confluence City' in India?,Mumbai,New Delhi,Prayagraj (Allahabad),Hyderabad,Prayagraj (Allahabad)
The term 'Urban Heat Island' is associated with:,Low rainfall in urban areas,Higher temperatures in cities compared to surrounding areas,Increased wind speed in urban canyons,Reduced air pollution in city centers,Higher temperatures in cities compared to surrounding areas
The 'Aswan High Dam' is located on which river?,Tigris,Euphrates,Nile,Congo,Nile
The largest archipelago in the world is:,Japan,Philippines,Indonesia,Caribbean,Indonesia
The 'Leeward side' of a mountain range typically receives:,Orographic rainfall,High rainfall,Low rainfall (Rain shadow),Hailstorms,Low rainfall (Rain shadow)
Which major port of India is located on the East coast?,Mumbai,Kandla,Paradip,Kochi,Paradip
The 'Kuroshio Current' is a warm ocean current found in the:,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,Pacific Ocean
The 'Mercator Projection' is most commonly used for:,Mapping polar regions,Navigational charts,Land-use planning,Showing population density,Navigational charts
The term 'Greenwich Mean Time (GMT)' is now commonly replaced by:,Universal Time Coordinated (UTC),International Atomic Time (TAI),Global Positioning System (GPS) Time,Zonal Time (ZT),Universal Time Coordinated (UTC)
The 'Pamir Knot' connects which of the following major mountain ranges?,Himalayas and Andes,Himalayas and Karakoram,Andes and Rockies,Alps and Pyrenees,Himalayas and Karakoram
The 'Tidal Forests' in India are also known as:,Tropical Evergreen Forests,Mangrove Forests,Deciduous Forests,Montane Forests,Mangrove Forests
Which one of the following countries does NOT border the Caspian Sea?,Kazakhstan,Iran,Iraq,Turkmenistan,Iraq
The 'Rift Valley' is formed due to:,Folding of the Earth's crust,Faulting of the Earth's crust,Volcanic eruptions,Erosion by rivers,Faulting of the Earth's crust
The 'Klimat' (Climate) classification system was developed by:,Vladimir Köppen,Alfred Wegener,Koppen Geiger,A. L. Kroeber,Vladimir Köppen
The largest number of 'Scheduled Tribes' (ST) in India are concentrated in which state?,Bihar,Madhya Pradesh,Odisha,Jharkhand,Madhya Pradesh
Which of the following crops is primarily associated with 'Horticulture'?,Wheat,Rice,Fruits and Vegetables,Sugarcane,Fruits and Vegetables
